"id","user_id","device_name","device_id","created_at","is_active"
"1","1","Test GPS Tracker","test_gps_engine","2025-12-25 18:38:19","1"
"id","device_id","user_id","latitude","longitude","satellites","recorded_at"
"386","1","1","13.03836500","80.25517300","20","2026-01-10 02:42:35"
"387","1","1","13.03836100","80.25516500","20","2026-01-10 02:42:48"
"388","1","1","13.03835900","80.25516500","20","2026-01-10 02:43:02"
"389","1","1","13.03835700","80.25515700","20","2026-01-10 02:43:15"
"390","1","1","13.03834800","80.25515700","21","2026-01-10 02:43:28"
"391","1","1","13.03834000","80.25515000","21","2026-01-10 02:43:41"
"392","1","1","13.03833200","80.25514200","20","2026-01-10 02:43:55"
"393","1","1","13.03832800","80.25514200","21","2026-01-10 02:44:08"
"394","1","1","13.03832600","80.25514200","20","2026-01-10 02:44:22"
"395","1","1","13.03832200","80.25515000","21","2026-01-10 02:44:35"
"396","1","1","13.03831900","80.25515000","21","2026-01-10 02:44:48"
"397","1","1","13.03831600","80.25516500","21","2026-01-10 02:45:01"
"398","1","1","13.03832800","80.25515700","21","2026-01-10 02:45:14"
"399","1","1","13.03833300","80.25515000","21","2026-01-10 02:45:27"
"400","1","1","13.03833000","80.25514200","21","2026-01-10 02:45:41"
"401","1","1","13.03832900","80.25514200","21","2026-01-10 02:45:54"
"402","1","1","13.03832200","80.25514200","21","2026-01-10 02:46:07"
"403","1","1","13.03839900","80.25435600","21","2026-01-10 02:46:20"
"404","1","1","13.03857800","80.25302100","21","2026-01-10 02:46:34"
"405","1","1","13.03879800","80.25167100","17","2026-01-10 02:46:47"
"406","1","1","13.03869900","80.25062600","20","2026-01-10 02:47:22"
"407","1","1","13.03849700","80.25042000","20","2026-01-10 02:47:36"
"408","1","1","13.03847100","80.25030500","18","2026-01-10 02:47:49"
"409","1","1","13.03845400","80.25029000","19","2026-01-10 02:48:03"
"410","1","1","13.03844100","80.25026700","19","2026-01-10 02:48:17"
"411","1","1","13.03843200","80.25025900","20","2026-01-10 02:48:30"
"412","1","1","13.03842600","80.25026700","19","2026-01-10 02:48:43"
"413","1","1","13.03841600","80.25026700","20","2026-01-10 02:48:56"
